Love The Way You Lie,Eminem,detroit hip hop
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop
My My My!,Troye Sivan,dance pop
Capital Letters,Hailee Steinfeld,dance pop
Sick Boy,The Chainsmokers,electropop
Tequila,Dan + Shay,contemporary country
Look What You Made Me Do,Taylor Swift,pop
Youth (feat. Khalid),Shawn Mendes,canadian pop
Bad Liar,Selena Gomez,dance pop
Anywhere,Rita Ora,dance pop
Say Something,Justin Timberlake,dance pop
Chun-Li,Nicki Minaj,dance pop
Sign of the Times,Harry Styles,dance pop
Familiar,Liam Payne,dance pop
Let Me,ZAYN,dance pop
Supernova,Ansel Elgort,dance pop
Nervous,Shawn Mendes,canadian pop
End Game,Taylor Swift,pop
Mi Gente (feat. Beyonce),J Balvin,latin
Lemon,N.E.R.D,hip hop
For You (With Rita Ora),Liam Payne,dance pop
Want To,Dua Lipa,dance pop
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop
Wait,Maroon 5,pop
What About Us,P!nk,dance pop
2U (feat. Justin Bieber),David Guetta,dance pop
Walk On Water (feat. Beyonce),Eminem,detroit hip hop
This Town,Niall Horan,dance pop
MOVE TO MIAMI,Enrique Iglesias,dance pop
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo
Filthy,Justin Timberlake,dance pop
Never Be the Same - Radio Edit,Camila Cabello,dance pop
Ferrari,Bebe Rexha,dance pop
Supplies,Justin Timberlake,dance pop
Boom Boom,RedOne,moroccan pop
Drip (feat. Migos),Cardi B,pop
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop
Memories,Maroon 5,pop
Lose You To Love Me,Selena Gomez,dance pop
Someone You Loved,Lewis Capaldi,pop
How Do You Sleep?,Sam Smith,pop
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop
Trampoline (with ZAYN),SHAED,electropop
Happier,Marshmello,brostep
Truth Hurts,Lizzo,escape room
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room
Higher Love,Kygo,edm
Only Human,Jonas Brothers,boy band
Beautiful People (feat. Khalid),Ed Sheeran,pop
Sucker,Jonas Brothers,boy band
Don't Call Me Up,Mabel,dance pop
I Don't Care (with Justin Bieber),Ed Sheeran,pop
Talk (feat. Disclosure),Khalid,alternative r&b
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop
Takeaway,The Chainsmokers,electropop
All Around The World (La La La),R3HAB,big room
Girls Like You (feat. Cardi B),Maroon 5,pop
Call You Mine,The Chainsmokers,electropop
No Guidance (feat. Drake),Chris Brown,dance pop
Antisocial (with Travis Scott),Ed Sheeran,pop
Con Calma - Remix,Daddy Yankee,latin
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop
Kills You Slowly,The Chainsmokers,electropop
